dateCons;codeINSEE;Consommation
2019-03;28;2598
2019-04;28;2267
2019-05;28;2115
2019-06;28;1876
2019-07;28;1903
2019-08;28;1767
2019-09;28;1853
2019-10;28;2177
2019-11;28;2629
2019-12;28;2845
2014-01;32;5239
2014-02;32;4692
2014-03;32;4608
2014-04;32;4025
2014-05;32;3955
2014-06;32;3669
2014-07;32;3740
2014-08;32;3393
2014-09;32;3783
2014-10;32;4179
2014-11;32;4514
2014-12;32;5151
2015-01;32;5473
2015-02;32;4976
2015-03;32;4929
2015-04;32;4171
2015-05;32;3874
2015-06;32;3684
2015-07;32;3645
2015-08;32;3318
2015-09;32;3813
2015-10;32;4363
2015-11;32;4506
2015-12;32;4638
2016-01;32;5203
2016-02;32;4852
2016-03;32;4904
2016-04;32;4205
2016-05;32;3802
2016-06;32;3697
2016-07;32;3589
2016-08;32;3347
2016-09;32;3645
2016-10;32;4235
2016-11;32;4763
2016-12;32;5146
2017-01;32;5695
2017-02;32;4618
2017-03;32;4564
2017-04;32;4023
2017-05;32;3876
2017-06;32;3629
2017-07;32;3595
2017-08;32;3375
2017-09;32;3775
2017-10;32;4106
2017-11;32;4748
2017-12;32;5331
2018-01;32;5478
2018-02;32;5044
2018-03;32;4956
2018-04;32;3847
2018-05;32;3683
2018-06;32;3533
2018-07;32;3621
2018-08;32;3357
2018-09;32;3641
2018-10;32;4147
2018-11;32;4720
2018-12;32;4915
2019-01;32;5383
2019-02;32;4549
2019-03;32;4662
2019-04;32;4033
2019-05;32;3886
2019-06;32;3512
2019-07;32;3609
2019-08;32;3286
2019-09;32;3554
2019-10;32;4122
2019-11;32;4636
2019-12;32;4851
2014-01;44;4594
2014-02;44;4173
2014-03;44;4075
2014-04;44;3523
2014-05;44;3447
2014-06;44;3275
2014-07;44;3346
2014-08;44;2952
2014-09;44;3345
2014-10;44;3741
2014-11;44;4011
2014-12;44;4500
2015-01;44;4770
2015-02;44;4405
2015-03;44;4213
2015-04;44;3598
2015-05;44;3357
2015-06;44;3287
2015-07;44;3302
2015-08;44;2993
2015-09;44;3361
2015-10;44;3912
2015-11;44;4032
2015-12;44;4132
2016-01;44;4741
2016-02;44;4385
2016-03;44;4478
2016-04;44;3810
2016-05;44;3478
2016-06;44;3273
2016-07;44;3267
2016-08;44;3042
