ClePrimaire;dateProd;codeINSEE;QuantiteProd;typeProd
;2016-06;27;;nucléaire
;2016-07;27;;nucléaire
;2016-08;27;;nucléaire
;2016-09;27;;nucléaire
;2016-10;27;;nucléaire
;2016-11;27;;nucléaire
;2016-12;27;;nucléaire
;2017-01;27;;nucléaire
;2017-02;27;;nucléaire
;2017-03;27;;nucléaire
;2017-04;27;;nucléaire
;2017-05;27;;nucléaire
;2017-06;27;;nucléaire
;2017-07;27;;nucléaire
;2017-08;27;;nucléaire
;2017-09;27;;nucléaire
;2017-10;27;;nucléaire
;2017-11;27;;nucléaire
;2017-12;27;;nucléaire
;2018-01;27;;nucléaire
;2018-02;27;;nucléaire
;2018-03;27;;nucléaire
;2018-04;27;;nucléaire
;2018-05;27;;nucléaire
;2018-06;27;;nucléaire
;2018-07;27;;nucléaire
;2018-08;27;;nucléaire
;2018-09;27;;nucléaire
;2018-10;27;;nucléaire
;2018-11;27;;nucléaire
;2018-12;27;;nucléaire
;2019-01;27;;nucléaire
;2019-02;27;;nucléaire
;2019-03;27;;nucléaire
;2019-04;27;;nucléaire
;2019-05;27;;nucléaire
;2019-06;27;;nucléaire
;2019-07;27;;nucléaire
;2019-08;27;;nucléaire
;2019-09;27;;nucléaire
;2019-10;27;;nucléaire
;2019-11;27;;nucléaire
;2019-12;27;;nucléaire
;2014-01;28;7354;nucléaire
;2014-02;28;5173;nucléaire
;2014-03;28;4639;nucléaire
;2014-04;28;5451;nucléaire
;2014-05;28;6348;nucléaire
;2014-06;28;5974;nucléaire
;2014-07;28;6549;nucléaire
;2014-08;28;6216;nucléaire
;2014-09;28;5422;nucléaire
;2014-10;28;5967;nucléaire
;2014-11;28;5842;nucléaire
;2014-12;28;7160;nucléaire
;2015-01;28;7500;nucléaire
;2015-02;28;6041;nucléaire
;2015-03;28;6579;nucléaire
;2015-04;28;5534;nucléaire
;2015-05;28;4827;nucléaire
;2015-06;28;3949;nucléaire
;2015-07;28;4751;nucléaire
;2015-08;28;4422;nucléaire
;2015-09;28;4635;nucléaire
;2015-10;28;5465;nucléaire
;2015-11;28;5339;nucléaire
;2015-12;28;5736;nucléaire
;2016-01;28;5343;nucléaire
;2016-02;28;5639;nucléaire
;2016-03;28;5602;nucléaire
;2016-04;28;4162;nucléaire
;2016-05;28;4093;nucléaire
;2016-06;28;4877;nucléaire
;2016-07;28;4623;nucléaire
;2016-08;28;4340;nucléaire
;2016-09;28;3450;nucléaire
;2016-10;28;3569;nucléaire
;2016-11;28;5005;nucléaire
;2016-12;28;6575;nucléaire
;2017-01;28;6480;nucléaire
;2017-02;28;4776;nucléaire
;2017-03;28;4447;nucléaire
;2017-04;28;4187;nucléaire
;2017-05;28;3560;nucléaire
;2017-06;28;3242;nucléaire
;2017-07;28;3830;nucléaire
;2017-08;28;3880;nucléaire
;2017-09;28;3616;nucléaire
;2017-10;28;3555;nucléaire
;2017-11;28;4940;nucléaire
;2017-12;28;6497;nucléaire
;2018-01;28;6540;nucléaire
;2018-02;28;5639;nucléaire
;2018-03;28;5093;nucléaire
;2018-04;28;5069;nucléaire
;2018-05;28;3820;nucléaire
;2018-06;28;4190;nucléaire
;2018-07;28;5226;nucléaire
;2018-08;28;5348;nucléaire
;2018-09;28;5538;nucléaire
;2018-10;28;5066;nucléaire
;2018-11;28;4389;nucléaire
;2018-12;28;4475;nucléaire
;2019-01;28;4253;nucléaire
;2019-02;28;4477;nucléaire
;2019-03;28;5369;nucléaire
;2019-04;28;5184;nucléaire
;2019-05;28;5629;nucléaire
;2019-06;28;5158;nucléaire
;2019-07;28;4471;nucléaire
;2019-08;28;3605;nucléaire
;2019-09;28;3120;nucléaire
;2019-10;28;2337;nucléaire
;2019-11;28;2638;nucléaire
;2019-12;28;3013;nucléaire
